radius,thickness
0.0,5.582078745353674
2.075122210168652,5.582078745353674
4.888987927157344,5.4098716160595135
5.598679723035024,5.31921865723497
6.556348623027857,5.1808458809473015
7.755769260505337,4.993439514874516
9.190716268836962,4.75034332646112
10.850814036971883,4.446901964752042
12.728799637174513,4.083799254107248
14.811184775078756,3.6782340522690338
17.085518717423597,3.274078732037973
19.540388292053112,2.923111384843616
22.15815496018087,2.6351136522436596
24.925330427440766,2.4002926673068097
27.824276155046373,2.195144431737135
30.837353604211255,2.012140092962935
33.94796179725407,1.8483889787688568
37.13534951207311,1.6982053124024588
40.381878209881975,1.5582029301924112
43.66679666857895,1.4294539616671356
46.97246634937761,1.3124623450675663
50.27709846907119,1.2073445279516486
53.56201692776816,1.1137140800238443
56.80647050336685,1.0309700251408667
59.991783095975734,0.957920321799817
63.09927860570329,0.8932865733245825
66.10924337155292,0.8342742479118063
69.00403885473818,0.7791877424523378
71.76602651647268,0.7284021352856647
74.37964294018008,0.6820174473023174
76.82828714817909,0.6400086732796632
79.09743328499852,0.6023007975498046
81.17255549516716,0.5666183448531811
83.04327816763421,0.5294855892438707
84.69715056913863,0.48980230092604193
86.12379708862957,0.44791855301655037
87.31595479837146,0.4004086300147391
88.26532320952361,0.34652237524163204
88.96671451656061,0.2846594544487473
89.6100024017129,0.2084285327312094
