,path,filename,subfolder,ichan,mean,max,min,std,1%,50%,99%,del3,del4,del5,del8,del10,del12
21,mgrav_res/mgrav.hdf5,mgrav.hdf5,.,22,-6989.0531453125,-6941.03955078125,-7037.64599609375,13.556071564137657,-7026.6787109375,-6989.0263671875,-6949.87669921875,21.384628961773895,29.51833113953024,36.24938419098421,50.433020237707694,56.735497114985954,61.537332525183565
22,mgrav_res/mgrav.hdf5,mgrav.hdf5,.,23,112.83963022613526,128.74896240234375,106.73162078857422,4.707156211368104,106.8374160003662,112.18764877319336,126.29643463134765,5.401631806862513,6.940412906343056,8.166242728888035,10.758912356594116,11.971478094929264,12.948973910817513
23,mgrav_res/mgrav.hdf5,mgrav.hdf5,.,24,3.368691209218929,24.40032386779785,-18.525461196899414,3.7550473557250963,-8.279819259643554,3.4185467958450317,13.988344268798805,8.045120759865124,11.101559358072135,13.789059106022496,19.953099489624723,22.883462753390774,25.17402673942965
24,mgrav_res/mgrav.hdf5,mgrav.hdf5,.,25,-21.41812951884866,8524.0908203125,-8532.4619140625,6077.402681154027,-8516.8935546875,-37.44070816040039,8513.422988281249,2744.653433834197,4333.496507481039,5699.660831497829,8597.354924863823,9859.846121542387,10802.899217977792
25,mgrav_res/mgrav.hdf5,mgrav.hdf5,.,26,1046.6066578967702,8531.5302734375,-8529.8095703125,5879.749385067722,-8514.2578125,1994.0364379882812,8516.9501953125,2625.0483792823356,4152.66864988331,5484.932290099036,8369.069765585464,9646.741480187746,10607.378703579076
26,mgrav_res/mgrav.hdf5,mgrav.hdf5,.,27,-112.48012167091369,-110.34507751464844,-118.65522003173828,2.1609787481281617,-118.31573051452636,-111.62518692016602,-110.37448516845703,0.7820143513717619,1.4119299817520876,2.0126683754606796,3.4253962358407395,4.089689601879089,4.6026720831047365
27,mgrav_res/mgrav.hdf5,mgrav.hdf5,.,28,-86.6787122232873,502.79425048828125,-662.3549194335938,408.17445950369074,-655.4743041992188,-88.59271240234375,488.4287817382812,185.23998086352194,292.4729221629005,384.67700524225955,580.2458853735509,665.4529436601051,729.1007380896343
28,mgrav_res/mgrav.hdf5,mgrav.hdf5,.,29,-1143.5626269001602,9532.224609375,-9489.728515625,6556.110155793371,-9473.4736328125,-2196.050537109375,9516.064453125,2926.707262082803,4629.874858900608,6115.236310370021,9330.806035092195,10755.302099696763,11826.331479618173
29,mgrav_res/mgrav.hdf5,mgrav.hdf5,.,30,-25.72345765018207,146.26739501953125,-169.49420166015625,109.07888678622177,-169.00596618652344,-38.714365005493164,145.9494140625,48.81416212228356,77.07970697973758,101.69140949132816,154.94845731563802,178.5602828663795,196.32464301986366
30,mgrav_res/mgrav.hdf5,mgrav.hdf5,.,31,-149.53267634611205,490.9259033203125,-655.957763671875,397.2636215235356,-655.1531982421875,-210.0930938720703,489.38623046875,178.69497776643004,282.5030307892897,372.3770477873142,565.0808150538512,650.0664200605939,714.017869918819
31,mgrav_res/mgrav.hdf5,mgrav.hdf5,.,32,591.1881592559934,9533.9990234375,-9479.3544921875,6719.575803969033,-9467.1692578125,976.8082275390625,9522.1435546875,3036.0457142326923,4793.872245133689,6305.9225950612945,9515.241101618229,10915.011690556645,11961.618948537229
32,mgrav_res/mgrav.hdf5,mgrav.hdf5,.,33,2.644977740887599,146.55018615722656,-169.18251037597656,110.98585388551491,-168.8387451171875,13.612961292266846,146.00099548339844,50.41440917751449,79.60603071509676,104.71510917166943,158.00856635031064,181.25293209912775,198.63272422829658
33,mgrav_res/mgrav.hdf5,mgrav.hdf5,.,34,-27.81784280416514,503.46240234375,-657.6466064453125,397.77246857159344,-655.0066528320312,25.28206443786621,494.0900207519531,179.32077772813312,283.4212148858324,373.51867399251944,566.6072215902697,651.7280747193706,715.7744111961376
34,mgrav_res/mgrav.hdf5,mgrav.hdf5,.,35,623.1207076649666,9531.2412109375,-9481.9462890625,6724.891051851331,-9468.310810546875,1039.511474609375,9521.959609375,3036.1699916278308,4793.85691926842,6305.871432704627,9515.158027338699,10914.91638594999,11961.514505330426
35,mgrav_res/mgrav.hdf5,mgrav.hdf5,.,36,3.659371730802581,146.39662170410156,-169.18028259277344,111.30072489425673,-168.88696517944337,15.977752685546875,146.00083923339844,50.39371367252228,79.56743319471718,104.66353343578112,157.9306002301353,181.16349632260932,198.5347127247518
36,mgrav_res/mgrav.hdf5,mgrav.hdf5,.,37,-86.67871135048456,502.79425048828125,-662.3549194335938,408.17445979482125,-655.4743041992188,-88.59271240234375,488.4287817382812,185.23998086352194,292.4729221629005,384.67700524225955,580.2458853735509,665.4529436601051,729.1007380896343
37,mgrav_res/mgrav.hdf5,mgrav.hdf5,.,38,-1143.5626269001602,9532.224609375,-9489.728515625,6556.110155793371,-9473.4736328125,-2196.050537109375,9516.064453125,2926.707262082803,4629.874858900608,6115.236310370021,9330.806035092195,10755.302099696763,11826.331479618173
38,mgrav_res/mgrav.hdf5,mgrav.hdf5,.,39,-25.723457647898606,146.26739501953125,-169.49420166015625,109.07888678853178,-169.00596618652344,-38.714365005493164,145.9494140625,48.81416212228356,77.07970697973758,101.69140949132816,154.94845731563802,178.5602828663795,196.32464301986366
39,mgrav_res/mgrav.hdf5,mgrav.hdf5,.,40,-149.53267634611205,490.9259033203125,-655.957763671875,397.2636215235356,-655.1531982421875,-210.0930938720703,489.38623046875,178.69497776643004,282.5030307892897,372.3770477873142,565.0808150538512,650.0664200605939,714.017869918819
40,mgrav_res/mgrav.hdf5,mgrav.hdf5,.,41,591.1881592559934,9533.9990234375,-9479.3544921875,6719.575803969033,-9467.1692578125,976.8082275390625,9522.1435546875,3036.0457142326923,4793.872245133689,6305.9225950612945,9515.241101618229,10915.011690556645,11961.618948537229
41,mgrav_res/mgrav.hdf5,mgrav.hdf5,.,42,2.6449777331921274,146.55018615722656,-169.18251037597656,110.98585389792275,-168.8387451171875,13.612961292266846,146.00099548339844,50.41440917751449,79.60603071509676,104.71510917166943,158.00856635031064,181.25293209912775,198.63272422829658
42,mgrav_res/mgrav.hdf5,mgrav.hdf5,.,43,-27.817842804165068,503.46240234375,-657.6466064453125,397.77246857159344,-655.0066528320312,25.28206443786621,494.0900207519531,179.32077772813312,283.4212148858324,373.51867399251944,566.6072215902697,651.7280747193706,715.7744111961376
