1
1  40
 0.0000e+00	 5.3800e+00	 1.0000e+02	 1.0000e+00	;
 2.0772e+00	 5.3918e+00	 9.9781e+01	 1.0000e+00	;
 4.8939e+00	 5.4404e+00	 9.8890e+01	 1.0000e+00	;
 5.6043e+00	 5.4575e+00	 9.7685e+01	 1.0000e+00	;
 6.5629e+00	 5.4831e+00	 9.4545e+01	 1.0000e+00	;
 7.7636e+00	 5.5188e+00	 9.0221e+01	 1.0000e+00	;
 9.1999e+00	 5.5656e+00	 8.4723e+01	 1.0000e+00	;
 1.0862e+01	 5.6239e+00	 7.8244e+01	 1.0000e+00	;
 1.2742e+01	 5.6923e+00	 7.1111e+01	 1.0000e+00	;
 1.4826e+01	 5.7681e+00	 6.3766e+01	 1.0000e+00	;
 1.7103e+01	 5.8457e+00	 5.6657e+01	 1.0000e+00	;
 1.9560e+01	 5.9176e+00	 5.0161e+01	 1.0000e+00	;
 2.2180e+01	 5.9733e+00	 4.4546e+01	 1.0000e+00	;
 2.4950e+01	 5.9995e+00	 3.9932e+01	 1.0000e+00	;
 2.7852e+01	 5.9808e+00	 3.6328e+01	 1.0000e+00	;
 3.0868e+01	 5.8993e+00	 3.3663e+01	 1.0000e+00	;
 3.3982e+01	 5.7358e+00	 3.1848e+01	 1.0000e+00	;
 3.7173e+01	 5.4704e+00	 3.0833e+01	 1.0000e+00	;
 4.0422e+01	 5.1126e+00	 3.0486e+01	 1.0000e+00	;
 4.3711e+01	 4.7769e+00	 3.0114e+01	 1.0000e+00	;
 4.7020e+01	 4.4710e+00	 2.9631e+01	 1.0000e+00	;
 5.0328e+01	 4.1899e+00	 2.9072e+01	 1.0000e+00	;
 5.3616e+01	 3.9324e+00	 2.8470e+01	 1.0000e+00	;
 5.6864e+01	 3.6987e+00	 2.7861e+01	 1.0000e+00	;
 6.0052e+01	 3.4886e+00	 2.7273e+01	 1.0000e+00	;
 6.3163e+01	 3.3005e+00	 2.6728e+01	 1.0000e+00	;
 6.6176e+01	 3.1315e+00	 2.6248e+01	 1.0000e+00	;
 6.9073e+01	 2.9774e+00	 2.5853e+01	 1.0000e+00	;
 7.1838e+01	 2.8329e+00	 2.5570e+01	 1.0000e+00	;
 7.4454e+01	 2.6916e+00	 2.5421e+01	 1.0000e+00	;
 7.6905e+01	 2.5474e+00	 2.5421e+01	 1.0000e+00	;
 7.9177e+01	 2.4072e+00	 2.5421e+01	 1.0000e+00	;
 8.1254e+01	 2.2606e+00	 2.5421e+01	 1.0000e+00	;
 8.3127e+01	 2.0977e+00	 2.5421e+01	 1.0000e+00	;
 8.4782e+01	 1.9125e+00	 2.5421e+01	 1.0000e+00	;
 8.6210e+01	 1.7059e+00	 2.5421e+01	 1.0000e+00	;
 8.7404e+01	 1.4872e+00	 2.5421e+01	 1.0000e+00	;
 8.8354e+01	 1.2743e+00	 2.5421e+01	 1.0000e+00	;
 8.9056e+01	 1.0903e+00	 2.5421e+01	 1.0000e+00	;
 8.9700e+01	 9.1396e-01	 2.5421e+01	 1.0000e+00	;
